,Date,Piligrims,Tonsures,Hundi,Speciality,Temperature,Condition,ttd online darshan tickets: (Worldwide),Tirupati: (Worldwide),Tirumala: (Worldwide),VIP darshan: (Worldwide),How to reach Tirupati: (Worldwide),ttd sarva darshan tickets: (Worldwide),ttd free darshan online booking availability: (Worldwide),apsrtc tirumala darshan tickets: (Worldwide),apsrtc ttd 300 tickets: (Worldwide),ksrtc tirupati package: (Worldwide),srinivasam complex: (Worldwide),tirumala darshan tickets: (Worldwide),tirumala darshan: (Worldwide),tirupati balaji.ap.gov.in: (Worldwide),tirupati darshan 500 rupees ticket: (Worldwide),ttd free darshan online booking availability: (Worldwide)
4,2022-05-01,32044,14084,2.15,5,77,1275,0,43,23,16,0,0,0,32,0,0,0,0,9,0,0,0
5,2022-06-01,29652,12270,3.93,4,79,972,6,41,25,14,0,0,0,0,0,0,0,0,9,0,0,0
6,2022-07-01,62856,16046,2.69,5,79,972,10,40,19,0,0,0,14,24,0,0,0,0,5,7,0,14
7,2022-08-01,33619,14692,2.45,4,79,972,0,45,17,22,0,24,14,0,0,53,0,0,16,0,0,14
8,2022-09-01,32235,17558,2.61,5,79,972,8,32,14,21,0,30,10,0,0,0,0,18,10,7,0,10
9,2022-10-01,32242,14916,2.75,5,81,972,0,33,13,0,0,16,0,0,0,31,25,11,3,8,25,0
10,2022-11-01,23744,22115,2.21,0,81,1324,10,40,19,0,0,0,0,0,0,0,0,0,7,7,0,0
11,2022-12-01,25524,15769,2.42,5,81,1324,0,36,20,11,0,0,0,0,0,36,0,0,11,0,0,0
12,13/01/2022,46118,15003,3.19,5,84,1324,0,33,15,0,0,0,11,0,30,0,21,0,9,0,0,11
13,14/01/2022,37304,15715,2.71,6,82,972,0,35,15,0,31,0,11,0,54,0,0,0,8,8,0,11
14,15/01/2022,34375,12017,2.5,6,82,1291,0,32,16,32,0,0,0,0,63,0,25,9,7,13,0,0
15,16/01/2022,35642,13052,1.59,0,84,972,9,34,19,0,0,34,0,0,0,0,0,9,9,0,0,0
16,17/01/2022,35333,10594,4.09,5,79,1878,7,30,18,17,0,0,10,0,0,50,0,14,11,0,43,10
17,18/01/2022,33971,9645,2.13,5,82,1275,0,25,14,0,0,0,34,0,0,0,44,11,6,12,0,34
18,19/01/2022,34187,11156,2.92,5,81,972,0,30,15,0,0,0,0,0,0,0,41,32,11,0,0,0
19,20/01/2022,36092,11178,2.77,5,79,972,0,27,16,20,0,0,0,0,0,24,47,0,3,0,69,0
20,21/01/2022,39440,12252,2.52,5,79,1291,0,29,13,0,0,0,9,18,0,37,0,21,8,0,0,9
21,22/01/2022,45481,11356,2.62,0,79,962,9,30,13,34,0,0,10,0,0,0,0,0,2,0,0,10
22,23/01/2022,27895,13279,2.11,0,82,862,0,29,16,0,0,0,0,0,0,25,0,11,7,12,0,0
23,24/01/2022,27223,13738,2.58,0,84,862,15,32,18,0,0,0,10,0,0,0,23,33,12,0,67,10
24,25/01/2022,28745,13692,2.53,0,86,1324,11,34,21,0,91,0,16,39,0,0,0,0,12,0,0,16
25,26/01/2022,27446,15909,2.33,6,88,972,10,39,25,0,39,0,16,0,61,0,0,28,12,0,60,16
26,27/01/2022,27536,13631,3.48,0,86,972,0,34,19,0,0,18,12,0,0,0,0,22,17,0,35,12
27,28/01/2022,24888,14624,1.87,0,86,1291,5,32,18,15,0,20,7,0,0,0,17,26,12,8,0,7
28,29/01/2022,28234,13553,2.14,0,82,972,14,33,18,17,0,0,20,0,0,0,32,13,16,0,0,20
29,30/01/2022,27896,13403,1.77,6,81,1291,6,34,21,15,0,19,37,0,0,0,0,31,20,10,80,37
30,31/01/2022,26401,13635,2.09,0,79,2689,11,36,21,0,0,17,20,0,0,0,0,22,10,42,0,20
31,2022-01-02,29496,12650,2.1,7,79,972,48,60,54,35,0,54,31,0,0,29,0,55,45,76,27,31
32,2022-02-02,29026,12466,2.3,0,79,1521,81,66,61,12,0,100,86,0,0,0,0,78,61,89,38,86
33,2022-03-02,31167,11135,2.41,5,84,972,13,39,20,0,0,0,0,34,0,0,58,16,13,10,29,0
34,2022-04-02,28410,12401,2.18,0,86,972,8,37,20,13,22,0,8,0,0,46,0,11,12,21,0,8
35,2022-05-02,34632,12210,1.97,4,86,1291,0,37,18,0,0,15,0,0,27,0,0,18,16,17,0,0
36,2022-06-02,33737,15110,2.18,0,86,1324,10,34,18,0,0,0,0,29,0,0,21,7,9,0,0,0
37,2022-07-02,35516,15701,1.83,4,86,1324,0,36,17,0,0,0,0,0,40,0,0,18,16,10,0,0
38,2022-08-02,30172,14831,2.08,5,90,862,4,40,18,15,0,0,12,0,0,25,17,20,13,12,0,12
39,2022-09-02,32092,16399,2.19,2,86,972,0,41,19,0,0,0,0,0,0,0,66,6,7,0,0,0
40,2022-10-02,32894,13954,2.82,0,84,972,0,36,22,10,25,0,0,0,0,0,0,10,11,0,32,0
41,2022-11-02,32894,13797,2.53,0,84,972,0,37,17,0,0,18,0,0,0,0,0,0,12,13,30,0
42,2022-12-02,36333,10829,2.22,6,84,862,0,39,21,0,0,0,13,0,0,0,0,8,8,0,0,13
43,13/02/2022,33356,29985,2.45,0,84,862,0,35,20,11,0,0,0,0,0,25,0,44,13,0,0,0
44,14/02/2022,64425,15770,2.65,5,84,862,10,29,14,13,0,0,11,48,0,0,0,17,7,0,0,11
45,15/02/2022,31794,14359,2.55,0,84,862,0,40,22,0,30,17,0,0,0,30,0,13,21,19,0,0
46,16/02/2022,39691,17174,2.63,0,84,862,15,42,26,0,0,0,9,100,0,0,22,11,25,0,0,9
47,17/02/2022,39335,16259,2.73,0,82,1324,17,36,23,19,0,76,21,0,0,0,31,11,17,8,64,21
48,18/02/2022,35584,29476,2.65,3,82,972,20,41,23,8,0,0,15,16,0,0,15,16,15,0,0,15
49,19/02/2022,41463,16731,2.58,0,84,1291,8,44,25,22,19,0,0,0,0,25,20,7,18,0,0,0
50,20/02/2022,41390,18303,2.23,6,84,1324,14,43,27,14,0,27,17,18,0,41,0,13,18,0,0,17
51,21/02/2022,39619,18834,3.01,0,84,1291,8,43,24,12,0,12,19,0,0,63,0,15,14,0,0,19
52,22/02/2022,38000,18608,2.85,0,84,862,4,47,27,17,0,24,23,0,0,0,40,11,15,0,0,23
53,23/02/2022,37216,21975,2.46,0,84,862,17,50,26,8,0,0,10,0,0,0,0,15,24,15,0,10
54,24/02/2022,53740,20527,3.06,6,90,862,14,46,26,0,43,0,0,0,35,30,0,25,23,5,35,0
55,25/02/2022,56559,21846,3.4,0,91,1324,6,47,28,9,0,0,5,0,20,0,0,21,17,6,0,5
56,26/02/2022,65704,17778,3.1,5,90,862,8,46,30,26,0,0,21,0,0,0,52,33,29,12,0,21
57,27/02/2022,68095,22009,2.72,0,86,1324,100,100,100,60,0,87,100,0,0,17,30,100,100,100,0,100
58,28/02/2022,55532,26977,3.21,6,86,972,19,59,38,0,24,14,27,0,0,67,0,27,24,13,0,27
59,2022-01-03,53163,28751,5.41,0,86,862,12,58,32,30,0,0,9,0,0,18,33,8,20,12,0,9
60,2022-02-03,46172,33187,3.67,0,86,862,7,58,38,16,35,25,13,0,0,0,0,23,25,13,34,13
61,2022-03-03,50511,29050,3.94,6,88,862,13,53,39,30,0,0,22,0,0,0,54,9,19,0,25,22
62,2022-04-03,56686,25114,4.33,6,88,862,18,57,44,17,0,17,14,0,0,0,36,30,26,16,0,14
63,2022-05-03,67750,20651,4.51,0,88,972,3,47,27,20,0,13,20,0,23,0,20,15,15,0,27,20
64,2022-06-03,61052,19395,3.33,0,88,1324,15,47,28,25,23,0,13,0,0,17,20,18,12,0,33,13
65,2022-07-03,57904,22089,3.63,6,84,1291,0,47,27,26,0,0,0,14,0,0,13,10,13,0,19,0
66,2022-08-03,58561,27997,2.93,5,86,1291,5,54,25,26,0,0,18,0,0,23,28,15,11,0,0,18
