,Date,Piligrims,Tonsures,Hundi,Special Day,Temperature,Condition,Tweets
0,01/01/2022,"36,560","14,084",Rs. 2.15 Cr,New Years Day,+77°,Moderate rain,[]
1,02/01/2022,"38,894","12,270",Rs. 3.93 Cr,"Amavasya, Sravanam, Tirupati Sri G.T Adhyayanotsavam Begins",+79°,Few clouds,[]
2,03/01/2022,"31,776","16,046",Rs. 2.69 Cr,"Maha Sivaratri, Tirupati Sri KT Nandi Vahanam",+79°,Few clouds,"['??????:???????? ?????????? ????????? ????? ???????? ?????????????? ???????? ?????????? ???????? ??????????. ??. 300 ???????? ?????? ?????? ????? ????????  ??.3300 ????? 7????? ??????????? ????. ????????? ???????? ???????????? ???????.', '
??????? ????????? ???????????????? ??????? ??????????? ????????? ????? ????? ???? ??? ???????? ??????????? ?? ????????????????.', ‘Prepare detailed project report to revive ']"
3,04/01/2022,"31,523","14,692",Rs. 2.45 Cr,Amavasya,+79°,Few clouds,[]
4,05/01/2022,"32,044","17,558",Rs. 2.61 Cr,May Day,+79°,Few clouds,"['', '\n3,402 ????? ?????? ????????? 24 ??????? ?????????? ???????? ?????? ?????  ', '\n?????? ?????? ??????????  31,523 ???? ??????? ????????????????, ???????? ?????????? 14,692 ???? ???????, ????? ????? ??.2.45 ??????\n ', '\n??????: ????? ?????????? ????????????? 31,523 ???? ???????, ???????? ?????????? 14,692 ???? ???????, ????? ????? ??.2.45 ??????']"
5,06/01/2022,"29,652","14,916",Rs. 2.75 Cr,"Buddha Jayanthi, Karvetinagaram Sri VGS Pushpayagam",+81°,Few clouds,[]
6,07/01/2022,"62,856","22,115",,normal,+81°,Partly cloudy,"['\n??????: ?????? ?????? ????????? ???????? ???? ??????? ???????? ???????? ???????????? ?????? ???????', '\n?????? ?????? ??????????  32,613 ???? ??????? ????????????????, ???????? ?????????? 15,639 ???? ???????, ????? ????? ??.3.45 ??????.\n ']"
7,08/01/2022,"33,619","15,769",Rs. 2.42 Cr,Naga Chaturthi,+81°,Partly cloudy,"['\n?\u200c????? ???\u200c???? ?\u200c???\u200c?? ???????? ?\u200c???? ?\u200c???\u200c?? ?????????\u200c????? ?\u200c??????? ??? ???\u200c?????? ?????????? ?\u200c???\u200c?? ???????? ??\u200c????.\n\n?\u200c?\u200c?\u200c?? 13-22 ?????? ????\u200c??, ?????? ????? ?????? ???????, ? ?????? ???\u200c??????? ???? ?\u200c?? ? ???????????? ???????? ?\u200c???\u200c?? ???????\u200c???? ', '\n? ????? ?????? ??????????  29,692 ???? ??????? ????????????????, ???????? ?????????? 14,916 ???? ???????, ????? ????? ??. 2.75 ??????. ']"
8,09/01/2022,"32,235","15,003",Rs. 3.19 Cr,Rushi Panchami,+84°,Partly cloudy,[]
9,10/01/2022,"32,242","15,715",Rs. 2.71 C,Tirumala Sri TT Garuda Sava,+82°,Few clouds,[]
